49.985106, 36.127388
49.984757, 36.127388
49.984362, 36.127357
49.984113, 36.127321
49.983619, 36.127309
49.982721, 36.127281
49.982135, 36.127223
49.982135, 36.127223
49.981057, 36.127171
49.980523, 36.127145
49.979929, 36.127080
49.979110, 36.127080
49.978066, 36.126997
49.977128, 36.127069
49.976333, 36.127127
49.975416, 36.127273
49.974681, 36.127410
49.974040, 36.127557
49.973365, 36.127730
49.972765, 36.127944
49.972158, 36.128159
49.971244, 36.128388
49.969971, 36.128682
49.968814, 36.129030
49.967196, 36.129538
49.966407, 36.129617
49.965532, 36.129750
49.963957, 36.129828
49.962924, 36.129787
49.961507, 36.129569
49.960315, 36.129454
49.959537, 36.129326
49.958554, 36.129187
49.957673, 36.129004
49.957118, 36.128979
49.956503, 36.128852
49.956223, 36.128847
49.955817, 36.128838
49.955012, 36.128888
49.954304, 36.129179
49.953979, 36.129380
49.953791, 36.129751
49.953699, 36.130551
49.953502, 36.131516
49.953438, 36.132052
